,SOI,nino
1950-01-01,0.5292829916030121,-1.84
1950-02-01,1.5528896179770881,-1.63
1950-03-01,1.7578968385421103,-1.3
1950-04-01,1.6191325202511997,-1.43
1950-05-01,0.8712445829349255,-1.72
1950-06-01,2.811629257459934,-1.17
1950-07-01,2.1906716286130847,-0.86
1950-08-01,1.264818488148623,-0.95
1950-09-01,0.6285835684885123,-1.04
1950-10-01,1.6609125840611871,-0.83
1950-11-01,1.1400304057728947,-1.1
1950-12-01,2.230102316177228,-1.19
1951-01-01,1.6562733919749275,-1.21
1951-02-01,0.8369118398319375,-1.05
1951-03-01,-0.0857877737985624,-0.61
1951-04-01,0.0021000421793003717,-0.56
1951-05-01,-0.5361505125745321,-0.23
1951-06-01,0.604827223988618,-0.23
1951-07-01,-0.7914440283152496,0.44
1951-08-01,-0.012775944324794451,0.43
1951-09-01,-0.7408610123867008,0.69
1951-10-01,-0.7761115040039729,0.64
1951-11-01,-0.4057735342580509,0.74
1951-12-01,-0.3827842177095945,0.43
1952-01-01,-0.879455008861829,0.18
1952-02-01,-0.7213927361310145,-0.04
1952-03-01,0.07224233583061418,-0.01
1952-04-01,-0.6594132443046621,0.08
1952-05-01,0.7148673501005907,0.07
1952-06-01,0.850027449929927,-0.36
1952-07-01,0.40140223445608425,-0.56
1952-08-01,-0.33217455244305805,-0.47
1952-09-01,-0.3836145999845184,-0.29
1952-10-01,0.1749222864604881,-0.25
1952-11-01,-0.14813954425290551,-0.37
1952-12-01,-1.3562125342556497,-0.15
1953-01-01,0.24753539151003315,0.18
1953-02-01,-0.5529273765674159,0.36
1953-03-01,-0.5072013994764664,0.35
1953-04-01,0.07560151845531478,0.4
1953-05-01,-3.0381862379247773,0.38
1953-06-01,-0.1307734538351232,0.33
1953-07-01,-0.06248242328828989,0.24
1953-08-01,-1.673648706540085,0.23
1953-09-01,-1.3362716997238295,0.31
1953-10-01,-0.0033965492515687697,0.23
1953-11-01,-0.2769565392554416,0.23
1953-12-01,-0.4852503562934143,0.3
1954-01-01,0.6231988583006894,0.36
1954-02-01,-0.34234567711296554,0.39
1954-03-01,-0.033111070588876794,-0.12
1954-04-01,0.7371148049391937,-0.93
1954-05-01,0.5584901172660781,-0.85
1954-06-01,-0.049040045188020215,-0.76
1954-07-01,0.4676714712767306,-0.91
1954-08-01,1.0731793232776503,-1.2
1954-09-01,0.3904192935537015,-1.45
1954-10-01,0.17492228646042052,-1.28
1954-11-01,0.30271993825615384,-1.07
1954-12-01,1.2054409303392628,-1.32
1955-01-01,-0.5037915420711727,-1.13
